timestamp,sound_type,beat_number
0.501309156417847,stim,1
1.50096797943115,player,1
2.5009241104126,stim,2
3.50079393386841,player,2
4.50107502937317,stim,3
5.5006251335144,player,3
6.50032806396484,stim,4
7.5001380443573,player,4
8.50060200691223,stim,5
9.50054001808167,player,5
10.5002338886261,stim,6
11.5006332397461,player,6
12.5008270740509,stim,7
13.5010421276093,player,7
14.5008721351624,stim,8
15.5003249645233,player,8
16.5010502338409,stim,9
17.5009100437164,player,9
18.5003769397736,stim,10
19.5010678768158,player,10
